ASIN,Copertina,Titolo,Autore,Data,Recensioni,Categoria
8855057243,https://m.media-amazon.com/images/I/61zKPdjgUcL._AC_UY218_.jpg,Colori. La guida completa,Rossella Migliaccio,29 nov. 2022,343,"Arte, cinema e fotografia"
889735324X,https://m.media-amazon.com/images/I/61QhdvlPwDL._AC_UY218_.jpg,Lezioni di teoria musicale. Per gli Ist. magistrali,Nerina Poltronieri,1 gen. 2016,340,"Arte, cinema e fotografia"
8875703264,https://m.media-amazon.com/images/I/71kFr66y5IL._AC_UY218_.jpg,Come diventare un esploratore del mondo. Ediz. illustrata,Keri Smith,1 dic. 2011,339,"Arte, cinema e fotografia"
8876651594,https://m.media-amazon.com/images/I/81GWdZxrrUL._AC_UY218_.jpg,Pianoforte per il piccolo principiante. Livello preparatorio (Vol. B),James Bastien,1 gen. 1998,330,"Arte, cinema e fotografia"
8888003436,https://m.media-amazon.com/images/I/61a6VEN-8NL._AC_UY218_.jpg,Percorsi di pianoforte. Con CD (Vol. 1),Lanfranco Perini,20 apr. 2010,329,"Arte, cinema e fotografia"
B085RV58SN,https://m.media-amazon.com/images/I/61FSEIIojqL._AC_UY218_.jpg,"Quaderno da disegno moda: +250 Figures template di manichini da disegnare con leggerezza per disegnare abiti per stilisti e designer di moda I 130 pagine - 8,5 * 11 in I",Beauty & Fashion Publishing,11 mar. 2020,325,"Arte, cinema e fotografia"
B0BGNL5TTL,https://m.media-amazon.com/images/I/71CCZrZgI5L._AC_UY218_.jpg,Spartiti per Pianoforte Facili per Bambini: Brani Famosi in Ordine di Difficoltà,Mauro Costa,29 set. 2022,324,"Arte, cinema e fotografia"
3836562286,https://m.media-amazon.com/images/I/81le+L6vs5L._AC_UY218_.jpg,Mucha,Tomoko Sato,30 giu. 2016,324,"Arte, cinema e fotografia"
1785580795,https://m.media-amazon.com/images/I/71v9p-n6M5L._AC_UY218_.jpg,John Thompson's Corso Facilissimo Per Pianoforte: Prima Parte (Book/CD) [Lingua italiano],John Thompson,1 gen. 2019,321,"Arte, cinema e fotografia"
8869283747,https://m.media-amazon.com/images/I/71Jvzvtb9TL._AC_UY218_.jpg,La tecnica della pirografia. Uso pratico del pirografo. Impariamo a scrivere e disegnare col fuoco,Laura Fratello,22 lug. 2020,314,"Arte, cinema e fotografia"
3836504022,https://m.media-amazon.com/images/I/81lzSGsZ7XL._AC_UY218_.jpg,Monet,Christoph Heinrich,3 ago. 2015,311,"Arte, cinema e fotografia"
B09NR73P2N,https://m.media-amazon.com/images/I/71oTmIpRrRL._AC_UY218_.jpg,Uncinetto per Principianti: La Guida Definitiva a Colori per apprendere Le Basi passo a passo. Con tanti Modelli da seguire per poter Creare i Propri Capi,Virginia Calm,16 dic. 2021,306,"Arte, cinema e fotografia"
B09JJ7L7N4,https://m.media-amazon.com/images/I/61B0te+AsYL._AC_UY218_.jpg,50 Spartiti Pianoforte Principianti: I grandi classici della musica in versione semplificata divisi in tre livelli di difficoltà,Prometheus Music,15 ott. 2021,304,"Arte, cinema e fotografia"
8867223518,https://m.media-amazon.com/images/I/71m9vqo8g3L._AC_UY218_.jpg,Louis Vuitton. Sfilate. Tutte le collezioni,Louise Rytter,20 set. 2018,300,"Arte, cinema e fotografia"
B09QNYJFH4,https://m.media-amazon.com/images/I/71HVOoJPR6L._AC_UY218_.jpg,"Il grande libro degli origami: Attività manuali creative per bambini e adulti - mostrate passo per passo in modo semplice e chiaro - costruisci animali, dinosauri, aerei di carta e molto altro ancora",Akiko Nakamura,19 gen. 2022,297,"Arte, cinema e fotografia"
1505563542,https://m.media-amazon.com/images/I/61--tCys4LL._AC_UY218_.jpg,Imparare la tecnica del suono,Marco Sacco,1 ago. 2014,297,"Arte, cinema e fotografia"
B00009KO5Z,https://m.media-amazon.com/images/I/71iliK9Rk9L._AC_UY218_.jpg,Lefèvre Metodo per Clarinetto Volume 1 | Libro Didattico per Principianti con Esercizi Musicali Progressivi | Teoria e Tecnica per Clarinetto Classico | Corso Base di Educazione Musicale per Studenti,LEFEVRE J.X.,1 gen. 1984,286,"Arte, cinema e fotografia"
8867223607,https://m.media-amazon.com/images/I/71AH-l2wgnL._AC_UY218_.jpg,Dior. Sfilate. Tutte le collezioni da Christian Dior a Maria Grazia Chiuri,Alexander Fury,20 set. 2018,286,"Arte, cinema e fotografia"
B09CRQL4MZ,https://m.media-amazon.com/images/I/71Gr8kNaGML._AC_UY218_.jpg,"Piccola Orchestra - Suona la musica classica a scuola primaria (nuova edizione): 15 brani di musica classica facilissimi da suonare a scuola primaria, senza leggere il pentagramma!",Maestro Libero,16 ago. 2021,282,"Arte, cinema e fotografia"
021590253X,https://m.media-amazon.com/images/I/81cnHlQsJ-L._AC_UY218_.jpg,Czernyana raccolta di studi. 60 studietti elementari. Volume 1,Carl Czerny,1 gen. 2010,279,"Arte, cinema e fotografia"
B07HPZ9F6Y,https://m.media-amazon.com/images/I/61e4gUdFZKL._AC_UY218_.jpg,Carolyn Moretti Poli il Polipo Introduzione al Pianoforte per Bambini | Metodo Musicale Facile e Divertente a Colori con Esercizi Creativi | Primo Libro Didattico di Musica per Piccoli Pianisti,Carolyn Moretti,11 set. 2018,274,"Arte, cinema e fotografia"
8896450306,https://m.media-amazon.com/images/I/51RsKquW-GL._AC_UY218_.jpg,"Dialoghi. L'arte di far parlare i personaggi nei film, in TV, nei romanzi, a teatro",Robert McKee,1 dic. 2017,273,"Arte, cinema e fotografia"
8884000351,https://m.media-amazon.com/images/I/619lhC8vxbL._AC_UY218_.jpg,Andrea Avena Teoria e Armonia Volume 1 con Audio Online | Libro con Esercizi per Studenti e Insegnanti di Musica Classica | Manuale di Solfeggio e Lettura Musicale per Pianoforte e Conservatorio,Andrea Avena,21 lug. 2016,271,"Arte, cinema e fotografia"
8820367416,https://m.media-amazon.com/images/I/61vzMhdH6XL._AC_UY218_.jpg,Manuale di agricoltura. Per gli Ist. Tecnici agrari,S. Amicabile,1 giu. 2016,268,"Arte, cinema e fotografia"
B09QLD1KJ7,https://m.media-amazon.com/images/I/61JVyGaXHtL._AC_UY218_.jpg,Il dio del massacro,Yasmina Reza,20 gen. 2022,267,"Arte, cinema e fotografia"
1699754209,https://m.media-amazon.com/images/I/41hGFGXt48L._AC_UY218_.jpg,"Quaderno pentagrammato per bambini: Il mio quaderno di musica, A4, 110 pagine, 6 pentagrammi per pagina (pentagramma grande)",Sofia Piccola,14 ott. 2019,261,"Arte, cinema e fotografia"
8867224999,https://m.media-amazon.com/images/I/81ekxnobYhL._AC_UY218_.jpg,"Il tatuaggio giapponese. Significati, forme e motivi. Ediz. a colori",Yori Moriarty,21 mag. 2020,260,"Arte, cinema e fotografia"
B0DDH5BM3M,https://m.media-amazon.com/images/I/61aoDvlBbAL._AC_UY218_.jpg,"Un Sogno Chiamato Calcio: Un Libro Sul Calcio Per Bambini Delle Elementari, Per La Fiducia In Se Stessi, Lo Spirito Di Squadra E La Bellezza Di Credere Nei Propri Sogni.",Luca Martin,16 ago. 2024,257,"Arte, cinema e fotografia"
8869175898,https://m.media-amazon.com/images/I/51lXfc35oKL._AC_UY218_.jpg,Prima la musica! Per la Scuola media. Con e-book. Con espansione online. Storia della musica-Teoria Metodo Antologia (Vol. A-B),Nicola Campogrande,9 set. 2022,255,"Arte, cinema e fotografia"
8867224093,https://m.media-amazon.com/images/I/61UBmU9AlxL._AC_UY218_.jpg,Un uomo e il suo orologio. Ediz. illustrata,Matthew Hranek,14 mar. 2019,254,"Arte, cinema e fotografia"
B0BW385FZT,https://m.media-amazon.com/images/I/71xrF-5ElML._AC_UY218_.jpg,Libro degli Incantesimi di Harry Potter: Guida Illustrata Non Ufficiale all’Addestramento dei Maghi,Newt Flamel,2 mar. 2023,247,"Arte, cinema e fotografia"
8896450195,https://m.media-amazon.com/images/I/81rH62jAsFL._AC_UY218_.jpg,Save the cat! Manuale di sceneggiatura,Blake Snyder,1 lug. 2014,246,"Arte, cinema e fotografia"
0215901568,https://m.media-amazon.com/images/I/91kWJqqIU4L._AC_UY218_.jpg,Scuola primaria del pianoforte opera 176. 25 studi facili e progressivi,Jean Baptiste Duvernoy,1 gen. 2010,246,"Arte, cinema e fotografia"
3836541106,https://m.media-amazon.com/images/I/71ajpIbSZfL._AC_UY218_.jpg,Design del XX secolo,Charlotte & Peter Fiell,15 ago. 2012,245,"Arte, cinema e fotografia"
