Categoria,Data_Aggiunta,Editore,Copertina,Titolo,Autore,Descrizione,Link
Bestseller,2026-08-16,Massot Editions,https://products-images.di-static.com/image/masiero-corinne-on-chie-d-dans-anti-fiction/9782380353792-475x500-1.webp,On chie d'dans !. Anti-fiction,Corinne Masiero,"On chie d'dans Ethique punk antique. Instrument de Liberté. Corinne Masiero, ses faux airs de vilaines, l'intelligence d'un ruisseau, la mémoire du charbon. Une vie à vivre. Un burin comme une flute enchantée. Allez ! Chie d'dans. Nicolas Vray "" ENCORE UN BOOK 1 ? ! Pour quoi faire ? ! "", renauderait Laurène Marx. Et elle aurait raison. Mais "" on n'a jamais fait de cercueil à deux places "". Alors, quand la Mère-Tapedur débarquera avec sa vraie faux, je répondrai quoi ? Quand elle dira, en se foutant de moi : "" Hé, ti ! T'as un'e rude gueule ! AH AH AH !!! Et d'où que c'est que t'es, que j't'armène ? "" C'est quoi le rapport ? Jsaipa. Y en a pas. Mais je chie d'dans. Corinne",https://www.decitre.fr/livres/on-chie-d-dans-anti-fiction-9782380353792.html
Bestseller,2026-08-16,Coédition Plon/Radio Classique,https://products-images.di-static.com/image/giesbert-franz-olivier-la-france-est-elle-un-pays-communiste/9782259325103-475x500-1.webp,La France est-elle un pays communiste ?,Franz-Olivier Giesbert,"Ne dites pas à la France qu'elle est un pays communiste, elle croit qu'elle vit dans l'enfer du néolibéralisme. ""Nos économistes marxistes - les marxistes sont apparemment les plus écoutés - nous expliquent que la France, gangrenée par l'ultralibéralisme, est devenue l'Eden des ultra-riches qui se gaveraient d'ultra-dividendes sans payer jamais d'impôts, les pouacres ! Cette plaisanterie de garçon de bain, trompetée par la plupart des médias, abuse néanmoins beaucoup de Français, les incitant à exiger toujours plus de socialisation. Mikhaïl Gorbatchev n'était pas dupe, lui. Au couchant de son règne, alors que l'Empire soviétique s'écroulait, le dernier numéro un de l'URSS avait tout dit quand il déclarait : ""La France est le seul pays où le communisme a réussi.""""",https://www.decitre.fr/livres/la-france-est-elle-un-pays-communiste-9782259325103.html
Bestseller,2026-08-16,Le Bruit du monde,https://products-images.di-static.com/image/kessaci-amine-marseille-essuie-tes-larmes/9782493206343-475x500-1.webp,"Marseille, essuie tes larmes. Vivre et mourir en terre de narcotrafic",Amine Kessaci,"Amine Kessaci écrit sur les lieux où il est né, a grandi et vit aujourd'hui : les quartiers nord de Marseille. Dans une narration à la fois intime et politique, il donne une voix à celles et ceux que la République regarde à peine. "" Tu es mort d'avoir cru à un rêve pourri, vendu au détail dans les cages d'escalier. Et si je parle aujourd'hui, c'est pour en finir avec ça. "" Brûlé dans une voiture. C'est ainsi qu'est mort Brahim, le frère d'Amine Kessaci. Une exécution aussi brutale que préméditée. En attendant le procès de ceux qui ont tué son frère, Amine prend la plume et entame un dialogue posthume avec Brahim. Il lui écrit une longue lettre d'amour, de douleur, de révolte, pour rétablir le lien qu'on leur a arraché. Amine refuse que son frère ne soit qu'une statistique, un fait-divers de plus. Il brosse le portrait d'un homme à la trajectoire brisée. Il raconte une vie maudite. Mais Amine Kessaci ne s'arrête pas là. Il interroge. Comment en est-on arrivé là ? Comment le trafic de drogue a-t-il pu prendre une telle place dans les vies et les imaginaires des habitants de nos quartiers ? En faisant entendre des histoires tues, Amine Kessaci montre la complexité des existences prises dans un engrenage qui les broie. Surtout, il raconte les résistances de celles et ceux qui chaque jour refusent de baisser les bras. Car vivre en terre de narcotrafic, c'est parfois mourir, mais c'est toujours lutter pour affirmer que la vie ici vaut autant qu'ailleurs.",https://www.decitre.fr/livres/marseille-essuie-tes-larmes-9782290442609.html?sku=9782493206343
Bestseller,2026-08-16,Fayard,https://products-images.di-static.com/image/dupont-aignan-nicolas-2027-la-liberte-ou-la-mort/9782213731704-475x500-1.webp,2027 La liberté ou la mort,Nicolas Dupont-Aignan,"Libre, la France brille. Entravée, elle dépérit. La France n'est pas, n'a jamais été, un pays comme un autre. Tout au long de son histoire tumultueuse, elle a marqué les esprits, elle a élevé l'âme, elle s'est imposée comme la conscience du monde. Mais notre nation est désormais prisonnière. De l'Union Européenne, de l'OTAN, de la mondialisation sauvage. 2027 représente la dernière chance de briser nos chaînes. Il n'en va pas seulement du destin du pays. La liberté collective garantit surtout la liberté individuelle. Ce sont nos vies qui sont en jeu. Depuis quand, nous, Français, aurions-nous peur d'être libres ?",https://www.decitre.fr/livres/2027-la-liberte-ou-la-mort-9782213731704.html
Bestseller,2026-08-16,Coédition Grasset/France Culture,https://products-images.di-static.com/image/perrignon-judith-l-autre-amerique/9782246841203-475x500-1.webp,L'autre Amérique,Judith Perrignon,""" Alors que Donald Trump vient de prêter serment, comment ne pas entendre résonner les mots de Franklin D. Roosevelt lorsqu'il entra à la Maison Blanche au mois de mars 1933 : "" Nous savons maintenant que le gouvernement des milieux financiers est aussi dangereux qu'un gouvernement mafieux "" ? Qu'importe l'âge du discours. Il a été prononcé quand le totalitarisme puis la guerre s'emparaient d'un monde mis à genoux par un capitalisme sans contrôle, et construisait la ligne de front entre un gouvernement protecteur et les maîtres de l'économie. Il est donc d'une grande actualité. Donald Trump n'est pas un accident de l'histoire américaine, il incarne la toute puissance du "" business "" , de l'homme blanc riche et au-dessus des lois, tout ce que Franklin et Eleanor Roosevelt combattirent pendant douze ans. Ils écrivirent le moment le plus progressiste de l'histoire des Etats-Unis. Y plonger, c'est voir où s'enracine la violence politique qui s'abat aujourd'hui. "" J. P. On imagine parfois ce qu'auraient été les Etats-Unis sans le 32ème président Franklin Delano Roosevelt : un pays sans droits sociaux. Le monde, lui, ne connaîtrait pas les Nations Unies et l'Allemagne nazie aurait peut-être gagné la Seconde Guerre mondiale. De la crise financière de 1929 jusqu'à sa mort au lendemain de la guerre, Roosevelt a changé la trajectoire des Etats-Unis et du monde. Comme un miroir, ces pages vertigineuses et passionnantes nous révèlent l'autre visage d'une Amérique perdue, et nous racontent une histoire exceptionnelle - portée par l'amour entre Franklin et Eleanor ; et par l'amitié entre Roosevelt et son bras droit.",https://www.decitre.fr/livres/l-autre-amerique-9782246841203.html
Bestseller,2026-08-16,Franck Slama Editions,https://products-images.di-static.com/image/invader-invaderwashere/9782954125985-475x500-1.webp,Invaderwashere,Invader,N/D,https://www.decitre.fr/livres/invaderwashere-9782954125985.html
Bestseller,2026-08-16,Editions Magnus,https://products-images.di-static.com/image/lalo-corinne-fausses-pandemies-vrais-mensonges/9782384220649-475x500-1.webp,"Fausses pandémies, vrais mensonges. Comment on vous trompe en 10 leçons : Enquête",Corinne Lalo,"LES MENSONGES DU COVID EXPLIQUES EN 10 LECONS Un vague sentiment de vous être fait avoir ? Pourquoi ? Comment ? Fruit d'une enquête minutieuse, ce livre choc vous dévoile les coulisses et les mensonges des "" pandémies "", présentes, passées et à venir. Des faits, rien que des faits. Qui a orchestré cette fraude planétaire, quand et comment les membres d'un petit groupe organisé ont patiemment tissé leur toile, corrompu le système et subverti les représentants des peuples ? Dix grands mensonges, dix grandes vérités. Voici enfin la vérité, voici les réponses. Soyez prêts à protéger votre santé, et, peut-être, sauver votre vie.",https://www.decitre.fr/livres/fausses-pandemies-vrais-mensonges-9782384220649.html
Bestseller,2026-08-16,Editions Magnus,https://products-images.di-static.com/image/stern-marguerite-les-rives-contraires/9782384220779-475x500-1.webp,Les rives contraires. Histoire d'une transition politique,Marguerite Stern,"CE LIVRE PARLE DU MOMENT OU L'ON NE PEUT PLUS MENTIR ""? Revoir toute sa construction mentale est un acte extrêmement dangereux. Cela rend instable. Sortir de la gauche, c'est prendre ce risque. Peu d'individus peuvent y survivre. Je le dis sans aucune méchanceté, sans aucun sentiment de supériorité : je ne suis pas sûre d'y survivre moi-même. Il est bien plus coûteux en énergie de reconnaître sa propre connerie plutôt que de déployer des arguments fallacieux pour continuer à s'y enfoncer. Voilà pourquoi la plupart des gens de gauche ne passent pas à droite, même lorsqu'on les confronte au réel. ? "" Les Rives contraires raconte la traversée d'une vie et la mue d'une pensée : de la gauche à la droite, de l'idéalisme au réel, de la ferveur militante à la rupture totale. Pourquoi change-t-on de camp ? Comment et à quel prix ? Pourquoi presque toujours dans ce sens-là ? Ancienne Femen, Marguerite Stern signe un récit libre, cru et indocile. Un livre qui ne cherche l'approbation de personne, seulement la vérité, celle qui déplaît, fissure les certitudes et oblige à choisir son camp... ou à en sortir.",https://www.decitre.fr/livres/les-rives-contraires-9782384220779.html
Bestseller,2026-08-16,Kana,https://products-images.di-static.com/image/suzuki-toshio-dans-le-studio-ghibli/9782505128649-475x500-1.webp,Dans le Studio Ghibli. Travailler en s'amusantédition revue et augmentée,Toshio Suzuki,"""Ici, on ne sait jamais ce qui va arriver, c'est vraiment sympa"". Chez Ghibli, lieu de rassemblement de talents étonnants, à commencer par les réalisateurs Isao Takahata et Hayao Miyazaki, chaque jour apporte son lot d'événements inattendus. C'est justement dans ce quotidien que se niche le temps présent, le point de départ des oeuvres. Le producteur de Ghibli, studio mondialement connu, lève le voile sur le berceau de la création, où il a toujours fait ""ce qu'il aimait comme il l'aimait"" .",https://www.decitre.fr/livres/dans-le-studio-ghibli-9782505128649.html
Bestseller,2026-08-16,La Nouvelle Librairie,https://products-images.di-static.com/image/bousquet-francois-sale-blanc/9782386080623-475x500-1.webp,"""Sale Blanc"". Le racisme qu’on ne veut pas voir",François Bousquet,"Il n'y a pas de coexistence heureuse avec le coucou. Le coucou est un oiseau qui ne construit pas de nid, pas plus qu'il ne couve. Il dépose son oeuf dans le nid d'un autre oiseau, plus petit, et délègue à cet hôte - nous en l'occurrence - le soin de couver et nourrir sa progéniture. A l'éclosion, l'oisillon coucou expulse les petits oisillons légitimes. Abusés, les parents nourriciers l'élèvent au détriment de leur descendance. C'est une prédation qui se pare des atours de la charité. Qui oserait la combattre ? Il est plus simple de s'y soumettre, quitte à oeuvrer à sa propre extinction. Le racisme antiblanc obéit à une logique similaire. L'enfant blanc devient l'oeuf que l'on peut pousser hors du nid sans risque. Et l'institution - école, encadrement, discours officiel - joue le rôle des parents nourriciers dévoyés. C'est ce que racontent mes témoins. Jamais je n'aurais cru qu'ils seraient si nombreux lorsque j'ai entrepris cette enquête il y deux ans. Ce livre n'en est pas le second volet, mais un ouvrage à part entière : le tableau précis et accablant d'une génération sacrifiée - qui commence à relever la tête. Directeur de la rédaction d'""Eléments"", François Bousquet est notamment l'auteur du ""Racisme antiblanc, L'enquête interdite"" (la Nouvelle Librairie).",https://www.decitre.fr/livres/sale-blanc-9782386080623.html
